file,relative_path,shape,column_count,dtype_summary,missing_values,duplicate_rows,empty_file,malformed_rows,non_numeric_cells,notes
5Kfs_1Cycle_50f_1000Sam_1A.mat,5Kfs_1Cycle_50f_1000Sam_1A.mat,1000 x 100 x 17,100,float64,0,1000,0,0,0,variable: Out
Flicker.csv,Flicker.csv,1000 x 100,100,float64,0,0,0,0,0,
Flicker_with_Sag.csv,Flicker_with_Sag.csv,1000 x 100,100,float64,0,0,0,0,0,
Flicker_with_Swell.csv,Flicker_with_Swell.csv,1000 x 100,100,float64,0,0,0,0,0,
Harmonics.csv,Harmonics.csv,1000 x 100,100,float64,0,0,0,0,0,
Harmonics_with_Sag.csv,Harmonics_with_Sag.csv,1000 x 100,100,float64,0,0,0,0,0,
Harmonics_with_Swell.csv,Harmonics_with_Swell.csv,1000 x 100,100,float64,0,0,0,0,0,
Interruption.csv,Interruption.csv,1000 x 100,100,"float64, int64",0,0,0,0,0,
Notch.csv,Notch.csv,1000 x 100,100,float64,0,0,0,0,0,
Oscillatory_Transient.csv,Oscillatory_Transient.csv,1000 x 100,100,float64,0,0,0,0,0,
Pure_Sinusoidal.csv,Pure_Sinusoidal.csv,1000 x 100,100,"float64, int64",0,999,0,0,0,
Sag.csv,Sag.csv,1000 x 100,100,"float64, int64",0,0,0,0,0,
Sag_with_Harmonics.csv,Sag_with_Harmonics.csv,1000 x 100,100,float64,0,0,0,0,0,
Sag_with_Oscillatory_Transient.csv,Sag_with_Oscillatory_Transient.csv,1000 x 100,100,float64,0,0,0,0,0,
Swell.csv,Swell.csv,1000 x 100,100,"float64, int64",0,0,0,0,0,
Swell_with_Harmonics.csv,Swell_with_Harmonics.csv,1000 x 100,100,float64,0,0,0,0,0,
Swell_with_Oscillatory_Transient.csv,Swell_with_Oscillatory_Transient.csv,1000 x 100,100,float64,0,0,0,0,0,
Transient.csv,Transient.csv,1000 x 100,100,float64,0,0,0,0,0,
